year_month,vw_ex_ret,SMB,HML,RM_RF
1964-07,0.026044269275703094,0.005448335373778484,-0.02295267801175791,0.013764713380297649
1964-08,-0.014959768599331767,0.01671839875902957,-0.007785912981688204,-0.020712557644455887
1964-09,0.011758168337536606,0.0010753581657462173,0.009564042482128464,0.019680472504147478
1964-10,0.0332732272291459,0.017278008643021973,-0.005399306219550239,0.0019442908674335933
1964-11,-0.01698828748596799,0.02282793154492635,-0.028159395655509782,-0.019761124494536153
1964-12,-0.008631276523398502,-0.0005458336556921281,-0.03032700102395343,0.0014134380342429318
1965-01,0.06372119805930905,0.02597929933743158,0.013989648428894032,0.027663242218075815
1965-02,0.022937624725741845,0.039538458349075864,0.00015466570531436942,-0.008616066647975925
1965-03,0.024923929003219644,0.01292501665054008,0.0015307580618732965,-0.019741046281574512
1965-04,0.04592869639584049,0.0050685098646008064,-0.019152574257453734,0.023165964330328723
1965-05,-0.019106950387300814,0.006705248107816175,-0.006186930275558798,-0.01405022597015684
1965-06,-0.09903776939293663,-0.04052617273051167,-0.009184688211009345,-0.05247115233769614
1965-07,0.03987554908378154,0.01857174424329585,0.010980114671551487,0.008652417745551793
1965-08,0.02613838830179118,0.024711319506018372,-0.008209653624459079,0.0168141355800064
1965-09,0.042226523916211754,0.00532011358278725,-0.0029572606331346937,0.030957474847271578
1965-10,0.07204208201308274,0.007136413586988615,0.013151518419779809,0.01984751742113022
1965-11,0.024706447441801456,0.04338788772224211,-0.01105706420322215,-0.022028793250197364
1965-12,0.057435996900139924,-0.0006720117233680149,0.041032206997470275,0.00435282662974948
1966-01,0.08269261035246782,0.024315803541490905,0.035813577980790975,-0.008959116076967545
1966-02,0.07714751028600704,0.014952251053746592,0.025695543329252522,-0.025768730153749093
1966-03,-0.014236027102944795,0.012170431038496583,-0.027135168582906627,-0.03273941863685362
1966-04,0.03535172237384108,0.014400649289628585,-0.010950817252416244,0.013457376399849756
1966-05,-0.12273125083223058,-0.005954112532109562,-0.015236876608830066,-0.07852096641379153
1966-06,-0.0052542366947699775,-0.005360452047152622,0.014536888793780614,-0.023666156733767076
1966-07,-0.002912368165196712,-0.0007358936074579776,-0.0044244843888584795,-0.02031570182012872
1966-08,-0.12932354168985286,-0.03433779896702294,0.019023745170410084,-0.0840260726657096
1966-09,0.00024027525228778168,-0.0030536068108153076,-0.013067125975139173,-0.01666656859828615
1966-10,-0.015428986723512839,-0.03618248186163722,0.012545906312594588,0.041550345045256905
1966-11,0.022778353693720357,0.04193818938025466,-0.05489211029644576,0.005935261200655707
1966-12,0.01122507129902399,0.013935572880837676,-0.0032243569730744694,-0.0033727694025968303
1967-01,0.14240713075270164,0.06615179131187297,0.023014298113395962,0.07483503615671103
1967-02,0.04356758727294876,0.018301002178204615,-0.02471285235483982,-0.0014083249814068285
1967-03,0.052354991993522434,0.015007022759739364,0.006993872461800735,0.033740013764112724
1967-04,0.034593438196963054,0.009653111797939332,-0.02193618549602957,0.03905331938667805
1967-05,-0.027149397026980243,0.03942749926657087,0.009037269783513442,-0.0612064183025628
1967-06,0.06818030365807916,0.03947518265584707,0.020880854547591754,0.007469300643252543
1967-07,0.11384835628362004,0.026628988481686135,0.03023977727198921,0.0406913101571627
1967-08,0.016326646739922242,0.0015727805148184667,0.013680516193727094,-0.016471681327233426
1967-09,0.0660665895729546,0.016446914058590376,-0.005470822109415442,0.026267387496320786
1967-10,-0.008339217681688769,0.003830904389982702,-0.019560837802819482,-0.03406185137560802
1967-11,-0.021787630106164437,-0.00018448729605552395,-0.02407925133721925,-0.002483505042890355
1967-12,0.09618132264534168,0.03738939792766405,0.006036008350644911,0.02349408241416212
1968-01,0.0796120820005159,0.026400598851496968,0.05196981842878326,-0.04541421412171364
1968-02,-0.06813080668247286,-0.020808861512836736,0.010027722506782556,-0.040215507008486584
1968-03,-0.011214311100381048,-0.009798312015683402,-0.01157082077434913,-0.007856020286157128
1968-04,0.14829694728154474,0.03915258260191257,-0.021520686902149172,0.07905828378067897
1968-05,0.13494021149426183,0.07306880602423735,0.04383748229649612,-0.03708623682200726
1968-06,0.017446578560970902,0.0004440708613250178,0.02090658192401356,0.0011534030639966959
1968-07,-0.0027981729508978364,-0.016153571156917127,0.05668863211668654,-0.02883420763010647
1968-08,0.060151050573082517,0.017160485306197074,0.017868159302200225,0.0015823628202036224
1968-09,0.11468517868082667,0.015846709541654964,0.012231962530541929,0.03503801068624198
1968-10,0.01284087222524794,-0.0004222943380661377,0.03922279496631392,-0.006332779596408135
1968-11,0.07425303282277947,0.03163848894049821,-0.019466490841924117,0.045320195483724596
1968-12,0.039701845777269956,0.03096080018078752,-7.492848917926495e-05,-0.0453178884970481
1969-01,-0.024173546764072,-0.007457643298362305,0.016890230378014976,-0.017115206164759936
1969-02,-0.10737520989693769,-0.0339447411801224,0.012599252609179934,-0.061152797019021696
1969-03,0.019084528844387813,-0.012060847720189548,0.007743622803047669,0.017742890082205174
1969-04,-0.006069820481907583,-0.01016225608633961,-0.007875435380121268,0.010986739437618489
1969-05,0.004435687264100577,-0.0004788388107189595,0.0030270443349242684,-0.014476785049690383
1969-06,-0.1414970515675064,-0.039320171709496185,0.0002031089337488079,-0.08433319312724205
1969-07,-0.08961930635216807,-0.031836431551162336,0.013959228188243189,-0.07188302753043806
1969-08,0.017495418852021175,0.014228446854669681,-0.0395322598788237,0.030084512599030964
1969-09,-0.008765417176473545,0.009082475572447696,-0.024332229614933837,-0.03321451313963862
1969-10,0.04918016237770237,0.03360284672841879,-0.02078585712516612,0.043345969201439474
