qdate,bid_1,ave_1,ask_1,dur_1,crspid_1,bid_3,ave_3,ask_3,dur_3,crspid_3
19871130,3.564,3.513,3.462,31,19871231.400000,5.576,5.545,5.514,94,19880303.400000
19871231,3.738,3.687,3.636,35,19880204.400000,5.801,5.790,5.780,91,19880331.400000
19880129,5.316,5.285,5.255,34,19880303.400000,5.759,5.749,5.738,90,19880428.400000
19880229,5.192,5.172,5.152,31,19880331.400000,5.737,5.727,5.717,87,19880526.400000
19880331,5.754,5.734,5.714,35,19880505.400000,5.831,5.821,5.811,91,19880630.400000
19880429,5.774,5.754,5.734,34,19880602.400000,6.109,6.099,6.088,90,19880728.400000
19880531,5.874,5.864,5.854,30,19880630.400000,6.677,6.667,6.657,93,19880901.400000
19880630,6.550,6.540,6.530,35,19880804.400000,6.707,6.697,6.686,91,19880929.400000
19880729,6.396,6.376,6.356,34,19880901.400000,7.108,7.098,7.088,90,19881027.400000
19880831,7.214,7.204,7.194,36,19881006.400000,7.471,7.461,7.451,92,19881201.400000
19880930,7.121,7.090,7.059,34,19881103.400000,7.418,7.408,7.397,90,19881229.400000
19881031,6.762,6.741,6.721,31,19881201.400000,7.529,7.519,7.509,87,19890126.400000
19881130,6.847,6.826,6.806,36,19890105.400000,8.019,8.004,7.988,92,19890302.400000
19881230,6.621,6.611,6.600,34,19890202.400000,8.297,8.286,8.276,90,19890330.400000
19890131,7.914,7.883,7.852,30,19890302.400000,8.600,8.590,8.579,93,19890504.400000
19890228,7.577,7.536,7.495,30,19890330.400000,8.932,8.921,8.911,93,19890601.400000
19890331,8.796,8.775,8.755,34,19890504.400000,9.126,9.115,9.105,90,19890629.400000
19890428,8.581,8.561,8.540,34,19890601.400000,8.618,8.607,8.597,90,19890727.400000
19890531,8.604,8.594,8.583,36,19890706.400000,8.827,8.817,8.806,92,19890831.400000
19890630,8.275,8.254,8.234,34,19890803.400000,8.183,8.173,8.162,90,19890928.400000
19890731,7.853,7.843,7.833,31,19890831.400000,7.984,7.973,7.963,87,19891026.400000
19890831,7.806,7.785,7.765,35,19891005.400000,8.080,8.070,8.060,91,19891130.400000
19890929,7.774,7.754,7.733,34,19891102.400000,8.100,8.090,8.080,90,19891228.400000
19891031,7.710,7.689,7.669,30,19891130.400000,7.958,7.948,7.937,93,19900201.400000
19891130,7.101,7.070,7.040,35,19900104.400000,7.770,7.760,7.750,91,19900301.400000
19891229,6.396,6.264,6.131,34,19900201.400000,7.738,7.723,7.707,90,19900329.400000
19900131,7.663,7.643,7.623,36,19900308.400000,7.926,7.916,7.905,92,19900503.400000
19900228,7.725,7.704,7.684,36,19900405.400000,7.957,7.947,7.936,92,19900531.400000
19900330,8.019,7.999,7.978,34,19900503.400000,7.986,7.976,7.966,90,19900628.400000
19900430,7.527,7.517,7.506,31,19900531.400000,7.974,7.963,7.953,87,19900726.400000
19900531,7.367,7.336,7.305,35,19900705.400000,7.936,7.925,7.915,91,19900830.400000
19900629,7.652,7.641,7.631,34,19900802.400000,7.924,7.914,7.904,90,19900927.400000
19900731,7.475,7.465,7.455,30,19900830.400000,7.668,7.658,7.648,93,19901101.400000
19900831,7.498,7.488,7.478,34,19901004.400000,7.563,7.552,7.542,90,19901129.400000
19900928,7.039,7.019,6.998,34,19901101.400000,7.305,7.294,7.284,90,19901227.400000
19901031,6.765,6.744,6.724,36,19901206.400000,7.275,7.265,7.254,92,19910131.400000
19901130,6.662,6.651,6.641,34,19910103.400000,7.181,7.170,7.160,90,19910228.400000
19901231,5.508,5.447,5.386,31,19910131.400000,6.581,6.570,6.560,87,19910328.400000
19910131,5.887,5.877,5.867,35,19910307.400000,6.326,6.315,6.305,91,19910502.400000
19910228,5.724,5.714,5.704,35,19910404.400000,6.171,6.161,6.151,91,19910530.400000
19910328,5.897,5.887,5.877,35,19910502.400000,5.862,5.852,5.842,91,19910627.400000
19910430,5.467,5.416,5.365,30,19910530.400000,5.627,5.616,5.606,93,19910801.400000
19910531,5.439,5.388,5.336,35,19910705.400000,5.646,5.636,5.625,90,19910829.400000
19910628,5.234,5.183,5.132,34,19910801.400000,5.656,5.646,5.636,90,19910926.400000
19910731,5.561,5.541,5.520,36,19910905.400000,5.647,5.637,5.626,92,19911031.400000
19910830,5.326,5.306,5.285,34,19911003.400000,5.441,5.430,5.420,91,19911129.400000
19910930,5.009,4.989,4.968,31,19911031.400000,5.213,5.203,5.193,87,19911226.400000
19911031,4.807,4.786,4.766,35,19911205.400000,4.917,4.907,4.896,91,19920130.400000
19911129,4.084,4.063,4.043,34,19920102.400000,4.435,4.424,4.414,90,19920227.400000
19911231,3.767,3.717,3.666,30,19920130.400000,3.933,3.923,3.913,93,19920402.400000
