qdate,bid_1,ave_1,ask_1,dur_1,crspid_1,bid_3,ave_3,ask_3,dur_3,crspid_3
19690228,5.844,5.641,5.437,31,19690331.400000,6.439,6.372,6.306,92,19690531.400000
19690328,5.591,5.361,5.132,33,19690430.400000,6.119,6.099,6.078,90,19690626.400000
19690430,6.354,6.125,5.895,31,19690531.400000,5.997,5.976,5.955,92,19690731.400000
19690529,6.049,5.845,5.641,32,19690630.400000,6.212,6.192,6.171,91,19690828.400000
19690630,6.864,6.481,6.099,31,19690731.400000,6.543,6.398,6.254,92,19690930.400000
19690731,7.374,6.915,6.456,31,19690831.400000,7.213,7.058,6.903,92,19691031.400000
19690829,7.017,6.660,6.304,32,19690930.400000,7.109,7.083,7.058,91,19691128.400000
19690930,7.169,6.945,6.720,30,19691030.400000,7.234,7.074,6.914,92,19691231.400000
19691031,7.118,6.685,6.251,30,19691130.400000,7.192,7.048,6.903,92,19700131.400000
19691128,6.794,6.447,6.100,33,19691231.400000,7.668,7.492,7.316,92,19700228.400000
19691231,7.170,6.787,6.405,31,19700131.400000,8.206,8.174,8.143,92,19700402.400000
19700130,7.866,7.728,7.590,34,19700305.400000,8.048,8.017,7.986,90,19700430.400000
19700227,6.650,6.303,5.957,32,19700331.400000,7.038,6.930,6.822,93,19700531.400000
19700331,6.700,6.415,6.129,30,19700430.400000,6.511,6.403,6.295,91,19700630.400000
19700430,6.874,6.512,6.150,31,19700531.400000,7.141,6.981,6.821,92,19700731.400000
19700529,6.599,6.309,6.018,32,19700630.400000,7.088,7.067,7.047,90,19700827.400000
19700630,6.272,5.930,5.589,30,19700730.400000,6.532,6.414,6.295,92,19700930.400000
19700731,6.221,5.895,5.569,31,19700831.400000,6.470,6.316,6.161,92,19701031.400000
19700831,6.303,6.109,5.915,30,19700930.400000,6.398,6.305,6.212,91,19701130.400000
19700930,6.140,5.819,5.498,31,19701031.400000,5.966,5.925,5.883,92,19701231.400000
19701030,5.498,5.274,5.050,31,19701130.400000,5.965,5.934,5.903,90,19710128.400000
19701130,4.734,4.449,4.164,31,19701231.400000,5.122,4.968,4.814,90,19710228.400000
19701231,4.714,4.439,4.164,31,19710131.400000,4.948,4.912,4.876,91,19710401.400000
19710129,4.296,4.062,3.828,30,19710228.400000,4.230,4.194,4.158,90,19710429.400000
19710226,3.371,3.229,3.086,33,19710331.400000,3.462,3.431,3.401,90,19710527.400000
19710331,3.574,3.406,3.239,30,19710430.400000,3.595,3.452,3.309,91,19710630.400000
19710430,3.849,3.676,3.503,31,19710531.400000,4.066,3.969,3.872,92,19710731.400000
19710528,4.043,3.870,3.697,33,19710630.400000,4.424,4.378,4.332,90,19710826.400000
19710630,5.335,5.019,4.704,31,19710731.400000,5.328,5.287,5.246,92,19710930.400000
19710730,5.264,5.060,4.857,32,19710831.400000,5.483,5.359,5.236,93,19711031.400000
19710831,4.561,4.408,4.256,30,19710930.400000,4.528,4.487,4.446,93,19711202.400000
19710930,4.724,4.531,4.337,31,19711031.400000,4.733,4.630,4.527,92,19711231.400000
19711029,4.195,3.992,3.788,32,19711130.400000,4.394,4.342,4.291,90,19720127.400000
19711130,4.032,3.828,3.625,30,19711230.400000,4.394,4.312,4.230,91,19720229.400000
19711231,3.635,3.351,3.066,31,19720131.400000,3.810,3.728,3.646,91,19720331.400000
19720131,3.259,3.127,2.995,31,19720302.400000,3.442,3.339,3.237,90,19720430.400000
19720229,3.361,3.147,2.934,30,19720330.400000,3.452,3.360,3.268,92,19720531.400000
19720330,3.615,3.483,3.351,31,19720430.400000,3.933,3.810,3.687,92,19720630.400000
19720428,3.442,3.249,3.056,33,19720531.400000,3.708,3.606,3.504,94,19720731.400000
19720531,3.584,3.401,3.218,30,19720630.400000,3.882,3.841,3.800,92,19720831.400000
19720630,3.788,3.625,3.462,31,19720731.400000,4.148,4.076,4.005,92,19720930.400000
19720731,3.656,3.513,3.371,31,19720831.400000,3.943,3.810,3.677,92,19721031.400000
19720831,4.510,4.307,4.103,30,19720930.400000,4.640,4.604,4.568,91,19721130.400000
19720929,4.602,4.429,4.256,32,19721031.400000,4.640,4.619,4.599,90,19721228.400000
19721031,4.652,4.541,4.429,30,19721130.400000,4.856,4.763,4.671,92,19730131.400000
19721130,5.101,4.917,4.734,31,19721231.400000,4.979,4.948,4.917,91,19730301.400000
19721229,5.010,4.867,4.725,33,19730131.400000,5.246,5.164,5.082,92,19730331.400000
19730131,5.724,5.571,5.418,36,19730308.400000,5.801,5.770,5.739,92,19730503.400000
19730228,5.793,5.579,5.365,31,19730331.400000,5.976,5.945,5.914,92,19730531.400000
19730330,6.089,5.875,5.661,31,19730430.400000,6.584,6.501,6.419,92,19730630.400000
19730430,6.160,5.987,5.814,31,19730531.400000,6.409,6.316,6.223,92,19730731.400000
